time,x,y,id,risk-so-far,total-risk
6.32,1.4614,2.9657,2,0.0,0.0
6.32,1.4984,3.6832,3,0.0,0.0
6.32,2.2199,1.316,4,0.0,0.0
6.32,2.331,2.1259,5,0.0,0.00010643444897329157
6.32,3.3726,3.088,6,0.0,0.0011719952137613232
6.32,3.7076,1.5215,7,0.0,0.0
6.32,4.1885,3.5849,8,0.0,1.1600725181803995e-05
6.36,1.045,1.9724,1,0.0,0.0
6.36,1.4039,2.9588,2,0.0,0.0
6.36,1.4351,3.6758,3,0.0,0.0
6.36,2.1555,1.3207,4,0.0,0.0
6.36,2.2664,2.1358,5,0.0,0.00010643444897329157
6.36,3.3066,3.1018,6,0.0,0.0011719952137613232
6.36,3.6448,1.5196,7,0.0,0.0
6.36,4.1035,3.5893,8,0.0,1.1600725181803995e-05
6.4,0.9924,1.976,1,0.0,0.0
6.4,1.3594,2.9575,2,0.0,0.0
6.4,1.3748,3.674,3,0.0,0.0
6.4,2.0911,1.3253,4,0.0,0.0
6.4,2.1931,2.1414,5,0.0,0.00010643444897329157
6.4,3.2461,3.1105,6,0.0,0.0011719952137613232
6.4,3.5767,1.515,7,0.0,0.0
6.4,4.024,3.59,8,0.0,1.1600725181803995e-05
6.4,4.6639,1.0964,10,0.0,0.0
6.44,0.9371,1.9823,1,0.0,0.0
6.44,1.3153,2.9589,2,0.0,0.0
6.44,1.3213,3.675,3,0.0,0.0
6.44,2.0375,1.328,4,0.0,0.0
6.44,2.1307,2.1567,5,0.0,0.00010643444897329157
6.44,3.1828,3.1217,6,0.0,0.0011719952137613232
6.44,3.5086,1.5104,7,0.0,0.0
6.44,3.9481,3.5851,8,0.0,1.1600725181803995e-05
6.44,4.5478,2.9964,9,0.0,0.0011604079501532638
6.44,4.5674,1.0856,10,0.0,0.0
6.48,0.8782,1.9823,1,0.0,0.0
6.48,1.2649,2.9599,2,0.0,0.0
6.48,1.2632,3.6759,3,0.0,0.0
6.48,1.9808,1.3299,4,0.0,0.0
6.48,2.0703,2.1602,5,0.0,0.00010643444897329157
6.48,3.1485,3.1286,6,0.0,0.0011719952137613232
6.48,3.4406,1.5057,7,0.0,0.0
6.48,3.8801,3.5779,8,0.0,1.1600725181803995e-05
6.48,4.4617,2.9943,9,0.0,0.0011604079501532638
6.48,4.4798,1.071,10,0.0,0.0
6.5200000000000005,0.8242,1.9868,1,0.0,0.0
6.5200000000000005,1.2125,2.9583,2,0.0,0.0
6.5200000000000005,1.1971,3.6762,3,0.0,0.0
6.5200000000000005,1.922,1.3325,4,0.0,0.0
6.5200000000000005,2.0075,2.1531,5,0.0,0.00010643444897329157
6.5200000000000005,3.0986,3.1297,6,0.0,0.0011719952137613232
6.5200000000000005,3.3672,1.5035,7,0.0,0.0
6.5200000000000005,3.8067,3.5757,8,0.0,1.1600725181803995e-05
6.5200000000000005,4.3722,2.9918,9,0.0,0.0011604079501532638
6.5200000000000005,4.4009,1.0491,10,0.0,0.0
6.5600000000000005,0.7633,1.9848,1,0.0,0.0
6.5600000000000005,1.1546,2.9619,2,0.0,0.0
6.5600000000000005,1.1369,3.6747,3,0.0,0.0
6.5600000000000005,1.8649,1.3288,4,0.0,0.0
6.5600000000000005,1.9485,2.1526,5,0.0,0.00010643444897329157
6.5600000000000005,3.0481,3.131,6,0.0,0.0011719952137613232
6.5600000000000005,3.2913,1.4987,7,0.0,0.0
6.5600000000000005,3.7412,3.5711,8,0.0,1.1600725181803995e-05
6.5600000000000005,4.2756,2.9784,9,0.0,0.0011604079501532638
6.5600000000000005,4.3256,1.0203,10,0.0,0.0
6.6000000000000005,0.7037,1.9806,1,0.0,0.0
6.6000000000000005,1.1021,2.9629,2,0.0,0.0
6.6000000000000005,1.076,3.6678,3,0.0,0.0
6.6000000000000005,1.8105,1.3249,4,0.0,0.0
6.6000000000000005,1.8909,2.1483,5,0.0,0.00010643444897329157
6.6000000000000005,3.0,3.1253,6,0.0,0.0011719952137613232
6.6000000000000005,3.2155,1.4885,7,0.0,0.0
6.6000000000000005,3.6784,3.5693,8,0.0,1.1600725181803995e-05
6.6000000000000005,4.1812,2.9756,9,0.0,0.0011604079501532638
6.6000000000000005,4.2503,0.9901,10,0.0,0.0
6.640000000000001,0.6461,1.9789,1,0.0,0.0
6.640000000000001,1.0417,2.9664,2,0.0,0.0
6.640000000000001,1.0122,3.6758,3,0.0,0.0
6.640000000000001,1.7541,1.3219,4,0.0,0.0
6.640000000000001,1.8269,2.1398,5,0.0,0.00010643444897329157
6.640000000000001,2.9488,3.1267,6,0.0,0.0011719952137613232
6.640000000000001,3.1341,1.4914,7,0.0,0.0
6.640000000000001,3.618,3.5701,8,0.0,1.1600725181803995e-05
6.640000000000001,4.0938,2.9612,9,0.0,0.0011604079501532638
6.640000000000001,4.169,0.9614,10,0.0,0.0
6.68,0.5884,1.9772,1,0.0,0.0
6.68,0.9812,2.9725,2,0.0,0.0
6.68,0.942,3.6743,3,0.0,0.0
6.68,1.6952,1.3188,4,0.0,0.0
6.68,1.7654,2.1367,5,0.0,0.00010643444897329157
6.68,2.8969,3.1384,6,0.0,0.0011719952137613232
6.68,3.0582,1.4839,7,0.0,0.0
6.68,3.5602,3.5736,8,0.0,1.1600725181803995e-05
6.68,4.0132,2.9379,9,0.0,0.0011604079501532638
6.68,4.0843,0.9373,10,0.0,0.0
6.72,0.5296,1.9725,1,0.0,0.0
6.72,0.9234,2.976,2,0.0,0.0
6.72,0.8622,3.6247,3,0.0,0.0
6.72,1.6415,1.3159,4,0.0,0.0
6.72,1.7026,2.1322,5,0.0,0.00010643444897329157
6.72,2.8376,3.1211,6,0.0,0.0011719952137613232
6.72,2.9906,1.4661,7,0.0,0.0
6.72,3.4971,3.577,8,0.0,1.1600725181803995e-05
6.72,3.9422,2.9558,9,0.0,0.0011604079501532638
6.72,3.9954,0.9168,10,0.0,0.0
6.76,0.472,1.9682,1,0.0,0.0
6.76,0.8628,2.9847,2,0.0,0.0
6.76,0.7905,3.6223,3,0.0,0.0
6.76,1.5878,1.3156,4,0.0,0.0
6.76,1.6385,2.1264,5,0.0,0.00010643444897329157
6.76,2.7769,3.12,6,0.0,0.0011719952137613232
6.76,2.9276,1.4669,7,0.0,0.0
6.76,3.4342,3.5777,8,0.0,1.1600725181803995e-05
